YBFMP,Date,Time,Station Code,Use sample code from FLIMS/WDL to connect field data and lab data,,,,,,DRIFT.COUNT,DRIFT.LIFE,,,,
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,3,Adults,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,21,Pupae,1.04E-02,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,25,Larvae,2.90E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,8,Pupae,2.50E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,75,Adults,1.43E-02,1.30E-03,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Empididae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Psychodidae,Aquatic Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Simuliidae,Aquatic Insect,2,Adults,1.10E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Ephemeroptera,Aquatic Insect,2,Adults,1.90E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Nymph,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,11,Adults,4.70E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,2,Nymph,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Veliidae,Aquatic Insect,1,Nymph,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,23,Adults,3.30E-02,8.40E-03,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Lepidoptera,Terrestrial Insect,1,Adults,1.70E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Neuroptera,Terrestrial Insect,1,Larvae,3.40E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,15,Adults,2.90E-03,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Thysanoptera,Terrestrial Insect,6,Adults,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydroptilidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,06/18/2019,09:36,SHR,ES0619B0123,20190618_0936_SHR_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Atherinopsidae,Aquatic Non-Insect,11,N/A,2.41E-02,4.60E-03,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Elmidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,2,Nymph,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,5,Adults,1.40E-03,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,07/01/2019,09:27,STTD,ES0719B0129,20190701_0927_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,14,N/A,5.90E-03,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,3,N/A,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Non-Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,Unknown,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,2,Larvae,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,4,Adults,<0.001,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,1.30E-03,<0.001,NA,N
YBFMP,07/02/2019,09:56,SHR,ES0719B0131,20190702_0956_SHR_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,10,N/A,2.20E-03,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,10,N/A,0.125,4.69E-02,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hydridae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,52,Adults,2.00E-02,4.50E-03,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,3,Adults,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Elmidae,Aquatic Insect,1,Adults,1.10E-03,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Helophoridae,Aquatic Insect,17,Adults,3.90E-03,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,7,Adults,1.40E-02,1.40E-03,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,3,Adults,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,1,Nymph,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Mesoveliidae,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,36,Adults,3.27E-02,6.60E-03,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Lepidoptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Coenagrionidae,Aquatic Insect,1,Nymph,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,3,N/A,<0.001,<0.001,NA,N
YBFMP,07/15/2019,09:23,STTD,ES0719B0137,20190715_0923_STTD_DRIFT,DRIFT,Drift Invertebrates,Ostracoda,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,4,Adults,1.77E-02,3.40E-03,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,2,Adults,1.20E-03,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,3,Larvae,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,6,Adults,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,5,Nymph,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Leptoceridae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
YBFMP,07/16/2019,09:40,SHR,ES0719B0139,20190716_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,1,N/A,1.40E-03,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Corbiculidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Adults,1.40E-03,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,16,Larvae,2.30E-03,<0.001,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,1,Adults,8.39E-02,1.75E-02,NA,N
NDFA,08/05/2019,09:14,SHR,ES0819B0254,20190805_0914_SHR_DRIFT,DRIFT,Drift Invertebrates,Lepidoptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
NDFA,08/07/2019,12:39,STTD,ES0819B0249,20190807_1239_STTD_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,3,Pupae,<0.001,<0.001,NA,N
NDFA,08/07/2019,12:39,STTD,ES0819B0249,20190807_1239_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Nymph,3.10E-03,<0.001,NA,N
NDFA,08/07/2019,12:39,STTD,ES0819B0249,20190807_1239_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
NDFA,08/07/2019,12:39,STTD,ES0819B0249,20190807_1239_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,2,Adults,1.00E-03,<0.001,NA,N
NDFA,08/07/2019,12:39,STTD,ES0819B0249,20190807_1239_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Larvae,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,2,Larvae,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Simuliidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Nymph,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,4,Adults,1.50E-03,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Leptoceridae,Aquatic Insect,1,Larvae,8.70E-03,<0.001,NA,N
NDFA,08/19/2019,10:00,SHR,ES0819B0333,20190819_1000_SHR_DRIFT,DRIFT,Drift Invertebrates,Corophiidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,08/21/2019,12:20,STTD,ES0819B0328,20190821_1220_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,08/21/2019,12:20,STTD,ES0819B0328,20190821_1220_STTD_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,08/21/2019,12:20,STTD,ES0819B0328,20190821_1220_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,1,Adults,9.80E-03,1.50E-03,NA,N
NDFA,08/21/2019,12:20,STTD,ES0819B0328,20190821_1220_STTD_DRIFT,DRIFT,Drift Invertebrates,Hyalellidae,Aquatic Non-Insect,5,N/A,1.20E-03,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Lymnaeidae,Aquatic Non-Insect,3,N/A,1.43E-02,3.70E-03,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Culicidae,Aquatic Insect,1,Adults,3.20E-03,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,5,Nymph,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,21,Adults,4.00E-03,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Veliidae,Terrestrial Insect,1,Nymph,<0.001,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,3,Adults,2.90E-03,<0.001,NA,N
NDFA,09/04/2019,12:02,STTD,ES0919B0351,20190904_1202_STTD_DRIFT,DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Mideopsidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Planorbidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,1,Pupae,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,2,Larvae,2.10E-03,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,8,Adults,<0.001,<0.001,NA,N
NDFA,09/05/2019,09:40,SHR,ES0919B0356,20190905_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Adults,<0.001,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Lebertiidae,Aquatic Non-Insect,1,N/A,lost,lost,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Naididae,Aquatic Non-Insect,4,N/A,slide mounted,slide mounted,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Physidae,Aquatic Non-Insect,3,N/A,5.20E-02,2.13E-02,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Planorbidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Coleoptera,Terrestrial Insect,12,Adults,9.90E-03,2.20E-03,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Dytiscidae,Aquatic Insect,24,Adults,8.50E-03,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Collembola,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Diptera,Terrestrial Insect,2,Adults,2.00E-03,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,4,Larvae,<0.001,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Ceratopogonidae,Aquatic Insect,2,Pupae,<0.001,<0.001,NA,N
NDFA,09/16/2019,09:40,SHR,ES0919B0379,20190916_0940_SHR_DRIFT,DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,563,Larvae,0.1141,2.04E-02,NA,N
